id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401756846,home,2306,Kansas State,Big 12,2025-08-23 16:00:00+00:00,Aviva Stadium,True,ESPN,KSU,#3c0969,#e2e3e4,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,Kansas State -3.0,51.0,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,17.0
401756846,away,66,Iowa State,Big 12,2025-08-23 16:00:00+00:00,Aviva Stadium,True,ESPN,ISU,#822433,#fdca2f,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,Kansas State -3.0,51.0,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,12.0
401767476,home,2447,Nicholls,Southland,2025-08-23 17:00:00+00:00,Manning Field at John L. Guidry Stadium,False,ESPN2,NICH,#C41230,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,Incarnate Word -13.5,50.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,25.0
401767476,away,2916,Incarnate Word,Southland,2025-08-23 17:00:00+00:00,Manning Field at John L. Guidry Stadium,False,ESPN2,UIW,#null,#080808,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,Incarnate Word -13.5,50.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,14.0
401767126,home,2502,Portland State,Big Sky,2025-08-23 20:30:00+00:00,Hillsboro Stadium,False,ESPN2,PRST,#00311e,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2502.png,Tarleton State -16.5,55.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,
401767126,away,2627,Tarleton State,UAC,2025-08-23 20:30:00+00:00,Hillsboro Stadium,False,ESPN2,TAR,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,Tarleton State -16.5,55.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,3.0
401756847,home,2305,Kansas,Big 12,2025-08-23 22:30:00+00:00,Memorial Stadium,False,FOX,KU,#0051ba,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,Kansas -14.0,50.0,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
401756847,away,278,Fresno State,Mountain West,2025-08-23 22:30:00+00:00,Memorial Stadium,False,FOX,FRES,#db0032,#002e6d,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,Kansas -14.0,50.0,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
401757218,home,98,Western Kentucky,Conference USA,2025-08-23 23:00:00+00:00,Houchens Industries-L.T. Smith Stadium,False,CBSSN,WKU,#F32026,#b3b5b8,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Western Kentucky -9.5,60.0,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401757218,away,2534,Sam Houston,Conference USA,2025-08-23 23:00:00+00:00,Houchens Industries-L.T. Smith Stadium,False,CBSSN,SHSU,#fe5000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,Western Kentucky -9.5,60.0,assets/tv-logos/CBSSN tv channel logo/CBS_Sports_Network_Logo.png,
401767410,home,2582,Southern,SWAC,2025-08-23 23:30:00+00:00,Center Parc Stadium,True,ABC,SOU,#004B97,#ffc82d,http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,North Carolina Central -10.5,47.5,assets/tv-logos/ABC tv channel logo/078f946de9ec1cc9944e12d11ec54657.png,
