id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401635525,home,59,Georgia Tech,ACC,2024-08-24 16:00:00+00:00,Aviva Stadium,True,ACC NETWORK,GT,#003057,#b3a369,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,Florida State -10.5,54.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,23.0
401635525,away,52,Florida State,ACC,2024-08-24 16:00:00+00:00,Aviva Stadium,True,ACC NETWORK,FSU,#782f40,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png,Florida State -10.5,54.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,10.0
401654665,home,2627,Tarleton State,UAC,2024-08-24 19:30:00+00:00,"Memorial Stadium (Stephenville, TX)",False,ESPN2,TAR,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,Tarleton State -15.5,63.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,12.0
401654665,away,2377,McNeese,Southland,2024-08-24 19:30:00+00:00,"Memorial Stadium (Stephenville, TX)",False,ESPN2,MCN,#00529C,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,Tarleton State -15.5,63.5,assets/tv-logos/ESPN2 tv channel logo/ESPN2-Logo-D795.png,24.0
401643697,home,167,New Mexico,Mountain West,2024-08-24 20:00:00+00:00,University Stadium (NM),False,FS1,UNM,#BA0C2F,#a7a8aa,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,Montana State -13.5,54.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,
401643697,away,147,Montana State,Big Sky,2024-08-24 20:00:00+00:00,University Stadium (NM),False,FS1,MTST,#00205c,#bc955c,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png,Montana State -13.5,54.5,assets/tv-logos/FS1 tv channel logo/Image_1.png,2.0
401654662,home,2546,Southeast Missouri State,Big South-OVC,2024-08-24 23:00:00+00:00,Cramton Bowl,True,ESPN,SEMO,#c8102e,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png,Southeast Missouri State -7.5,58.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,17.0
401654662,away,2453,North Alabama,UAC,2024-08-24 23:00:00+00:00,Cramton Bowl,True,ESPN,UNA,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,Southeast Missouri State -7.5,58.5,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,
401636372,home,2450,Norfolk State,MEAC,2024-08-24 23:30:00+00:00,Center Parc Stadium,True,ABC,NORF,#0c8968,#fdb813,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,Florida A&M -13.5,50.5,assets/tv-logos/ABC tv channel logo/078f946de9ec1cc9944e12d11ec54657.png,
401636372,away,50,Florida A&M,SWAC,2024-08-24 23:30:00+00:00,Center Parc Stadium,True,ABC,FAMU,#F89728,#00843d,http://a.espncdn.com/i/teamlogos/ncaa/500/50.png,Florida A&M -13.5,50.5,assets/tv-logos/ABC tv channel logo/078f946de9ec1cc9944e12d11ec54657.png,18.0
